frame,crack_count,crack_bbox_area_px,frame_area_px,crack_density_pct,crack_length_px
frame_000032.jpg,1,72090.5,8294400.0,0.8691,620.4
frame_000033.jpg,1,134090.6,8294400.0,1.6166,994.0
frame_000034.jpg,1,253575.8,8294400.0,3.0572,1369.2
frame_000035.jpg,3,708536.7,8294400.0,8.5424,3987.2
frame_000036.jpg,2,858612.6,8294400.0,10.3517,3920.8
frame_000037.jpg,1,433426.5,8294400.0,5.2255,1864.2
frame_000038.jpg,3,406457.2,8294400.0,4.9004,2349.9
frame_000039.jpg,2,286424.4,8294400.0,3.4532,1836.5
frame_000040.jpg,3,400993.8,8294400.0,4.8345,2363.5
frame_000041.jpg,3,216553.1,8294400.0,2.6108,1579.4
frame_000042.jpg,1,91626.6,8294400.0,1.1047,733.6
frame_000043.jpg,1,81119.0,8294400.0,0.978,681.1
frame_000044.jpg,2,46530.5,8294400.0,0.561,587.3
frame_000045.jpg,1,68807.0,8294400.0,0.8296,672.6
frame_000046.jpg,1,37626.1,8294400.0,0.4536,396.9
frame_000047.jpg,2,80883.5,8294400.0,0.9752,827.0
frame_000048.jpg,3,91917.6,8294400.0,1.1082,964.3
frame_000049.jpg,1,53376.0,8294400.0,0.6435,556.0
frame_000050.jpg,0,0.0,8294400.0,0.0,0.0
frame_000051.jpg,1,22531.9,8294400.0,0.2717,336.8
frame_000052.jpg,1,76938.3,8294400.0,0.9276,747.7
frame_000053.jpg,0,0.0,8294400.0,0.0,0.0
frame_000054.jpg,0,0.0,8294400.0,0.0,0.0
frame_000055.jpg,1,6201.7,8294400.0,0.0748,96.3
frame_000056.jpg,1,54528.0,8294400.0,0.6574,532.5
frame_000057.jpg,4,98255.9,8294400.0,1.1846,1150.4
frame_000058.jpg,4,257802.2,8294400.0,3.1081,2342.8
frame_000059.jpg,5,308862.5,8294400.0,3.7237,2820.8
frame_000060.jpg,4,339006.5,8294400.0,4.0872,2782.7
frame_000061.jpg,4,84340.4,8294400.0,1.0168,1126.0
frame_000062.jpg,2,104519.3,8294400.0,1.2601,1043.7
frame_000063.jpg,2,97129.7,8294400.0,1.171,1034.5
frame_000064.jpg,3,112100.1,8294400.0,1.3515,1124.9
frame_000065.jpg,1,15836.5,8294400.0,0.1909,283.3
frame_000066.jpg,1,20445.9,8294400.0,0.2465,316.5
frame_000067.jpg,1,21489.8,8294400.0,0.2591,315.1
frame_000068.jpg,3,323096.7,8294400.0,3.8954,2076.4
frame_000069.jpg,4,230850.7,8294400.0,2.7832,2081.0
frame_000070.jpg,3,184500.7,8294400.0,2.2244,1720.7
